lang,question,answer,tag
es,"¿Los precios se muestran en {currency}?","La moneda mostrada depende de la región detectada y de la configuración de la cuenta. Puede haber cargos por conversión si la facturación usa otra moneda.",pricing
es,"¿Con qué frecuencia se actualiza esta ficha?","Las fichas se refrescan cuando las fuentes publican cambios; vuelve a revisar la página oficial para lo que sea sensible al tiempo.",meta
es,"¿Para quién es más útil?","Sobre todo para quien compara opciones por primera vez antes de invertir tiempo o dinero.",audience
es,"¿Sirve para equipos pequeños?","El uso en equipos pequeños es común en planes de pago; los gratuitos suelen limitar usuarios o espacios compartidos.",audience
es,"¿Qué revisar antes de registrarme?","Confirma disponibilidad regional, el precio actual en {currency}, los métodos de pago aceptados y si el plan gratuito cubre tu caso.",setup
es,"¿Hay límites de uso?","Los planes gratuitos casi siempre traen límites de volumen o de frecuencia. El uso intensivo puede topar con ellos sin aviso.",limits
id,"Apakah {name} tersedia di {region}?","Ketersediaan mengikuti aturan regional penyedia dan aturan itu bisa berubah. Halaman resmi mencantumkan lokasi yang didukung untuk {region}.",availability
id,"Apakah {name} punya opsi gratis?","Di kategori ini paket gratis untuk pemakaian dasar cukup umum, sementara fitur lanjutan ada di paket berbayar. Cek bagian harga di halaman resmi.",pricing
id,"Metode pembayaran apa yang bisa dipakai di {region}?","Checkout lokal biasanya menerima {payments}. Daftar pastinya tergantung jenis akun dan bisa berbeda antara web dan ponsel.",payment
id,"Berapa lama proses setup?","Bagi pengguna baru, setup dasar umumnya selesai dalam beberapa menit lewat browser ponsel. Verifikasi tambahan bisa menambah waktu.",setup
id,"Apakah perlu kartu kredit untuk mulai?","Paket gratis biasanya tidak memerlukannya, sedangkan upgrade berbayar iya. Konfirmasi di layar pembayaran sebelum mengisi data.",payment
id,"Apakah {name} aman dipakai?","Perlakukan seperti layanan pihak ketiga lainnya: baca halaman privasi, jangan pakai ulang kata sandi, dan hindari menaruh berkas sensitif di ruang kerja bersama.",safety
id,"Apa alternatif utamanya?","Biasanya ada beberapa pilihan sebanding. Bandingkan harga dalam {currency}, dukungan bahasa, dan ketersediaan regional sebelum memutuskan.",comparison
id,"Apakah ada versi ponsel?","Sebagian besar bisa dipakai lewat browser ponsel dan beberapa punya aplikasi sendiri. Kesamaan fitur keduanya tidak dijamin.",platform
id,"Bisakah dibatalkan nanti?","Paket berbayar umumnya bisa dibatalkan dari pengaturan akun. Ketentuan pengembalian dana berbeda-beda, baca dulu sebelum upgrade.",pricing
id,"Apakah antarmukanya berbahasa Indonesia?","Bahasa lokal cukup umum tetapi tidak selalu ada, dan sebagian menu bisa tetap berbahasa Inggris. Halaman resmi biasanya mencantumkan daftar bahasa.",language
id,"Apakah harga ditampilkan dalam {currency}?","Mata uang yang tampil bergantung pada region yang terdeteksi dan pengaturan akun. Bisa ada biaya konversi bila penagihan memakai mata uang lain.",pricing
id,"Seberapa sering entri ini diperbarui?","Entri diperbarui saat sumbernya merilis perubahan, jadi cek ulang halaman resmi untuk hal yang sensitif waktu.",meta
id,"Paling cocok untuk siapa?","Terutama untuk pengguna baru yang ingin membandingkan pilihan sebelum mengeluarkan waktu atau biaya.",audience
id,"Apakah cocok untuk tim kecil?","Pemakaian tim kecil umum di paket berbayar, sedangkan paket gratis biasanya membatasi jumlah pengguna atau ruang kerja bersama.",audience
id,"Apa yang perlu dicek sebelum mendaftar?","Pastikan ketersediaan regional, harga terkini dalam {currency}, metode pembayaran yang diterima, dan apakah paket gratis sudah cukup.",setup
id,"Apakah ada batas pemakaian?","Paket gratis hampir selalu punya batas volume atau frekuensi. Pemakaian berat bisa menyentuh batas itu tanpa pemberitahuan.",limits
